S12	S1	S2	S31	S32	S4	S56	S5	S6	SA	SB	SG	SR
otu2778	0	0	0	0	1	0	5	14	11	0	0	14	0
otu2779	7	1	5	13	4	20	0	0	2	0	0	17	0
otu2780	0	0	0	16	0	0	0	0	0	1	0	0	28
otu2781	5	1	5	1	8	9	0	0	0	0	0	30	0
otu2783	0	0	0	30	0	0	0	0	0	3	0	0	9
otu2786	3	0	0	2	2	8	3	14	8	1	5	1	1
otu2787	8	0	0	0	1	0	7	9	12	0	2	13	0
otu2788	0	0	0	0	0	0	1	21	15	0	0	6	0
otu2789	0	0	0	0	3	0	1	3	63	0	0	11	0
otu2790	0	0	0	0	1	3	28	3	20	0	3	4	0
otu2792	0	0	0	31	0	0	0	0	0	0	0	0	6
otu2793	3	10	0	16	7	4	0	0	0	0	0	0	0
otu2794	26	0	6	0	6	0	0	0	1	0	0	14	0
otu2795	1	0	0	0	3	1	0	6	16	0	4	8	0
otu2797	1	0	2	2	3	10	0	2	9	0	0	9	0
otu2798	0	0	3	15	0	0	0	0	0	0	0	0	23
otu2799	13	1	0	1	1	2	1	3	5	0	11	4	0
otu2800	4	5	2	15	6	18	0	0	0	0	1	5	0
otu2801	3	0	3	17	1	1	0	1	1	0	2	12	4
otu2802	0	0	0	0	0	0	47	17	1	0	0	0	0
otu2804	9	1	1	0	5	32	1	2	7	1	1	1	0
otu2805	12	0	2	0	1	8	0	5	3	0	3	7	0
otu2807	2	0	0	7	0	0	0	0	0	3	25	0	4
otu2809	0	0	0	0	0	0	15	5	19	0	0	2	0
otu2810	8	12	1	11	3	31	0	0	0	0	0	4	0
otu2811	1	0	0	2	0	6	14	9	10	0	1	0	0
otu2812	3	1	18	6	2	4	11	0	0	0	0	2	0
otu2813	0	0	0	2	0	0	0	0	0	10	2	0	39
otu2815	1	0	0	0	1	0	0	4	45	0	0	4	0
otu2816	19	6	3	1	0	10	0	8	23	0	0	0	0
otu2817	12	0	0	0	5	0	0	2	1	0	2	18	0
otu2819	0	0	0	0	2	0	0	4	39	0	0	0	0
otu2820	4	9	2	17	1	9	0	0	0	0	1	0	0
otu2821	0	0	0	0	0	0	21	17	0	0	0	0	0
otu2822	18	14	2	17	1	3	0	0	0	0	1	0	0
otu2823	9	0	0	3	0	0	7	20	14	0	1	11	1
otu2824	12	2	4	2	6	16	0	4	17	0	8	21	0
otu2825	0	20	5	0	12	13	0	1	1	0	0	1	0
otu2827	10	4	2	0	1	6	0	4	3	0	1	4	0
otu2828	15	6	2	0	13	20	0	0	0	0	0	0	0
otu2829	9	0	5	1	0	12	2	4	2	0	1	2	0
otu2830	0	0	0	0	0	0	32	5	1	0	0	0	0
otu2831	1	0	3	11	0	0	0	0	0	0	0	30	2
otu2832	4	0	0	0	5	0	1	6	19	0	2	10	0
otu2833	7	0	7	2	7	5	0	0	0	1	5	27	0
otu2834	15	12	8	1	6	6	0	3	62	0	0	13	1
otu2835	9	2	0	2	0	1	6	6	7	0	7	4	0
otu2836	0	0	0	1	0	0	21	17	19	0	2	0	0
otu2837	0	34	0	0	0	1	0	8	0	0	1	0	0
otu2838	2	0	0	0	0	1	1	5	34	0	0	1	0
otu2839	26	0	6	0	1	5	0	0	0	0	0	0	0
otu2840	5	0	0	1	3	5	11	12	25	0	4	17	0
otu2841	24	13	3	1	0	4	0	0	0	0	9	0	2
otu2842	7	5	7	20	0	4	0	0	0	0	6	1	0
otu2843	0	0	0	37	0	0	0	0	0	6	3	0	0
otu2845	9	0	1	0	4	15	66	18	38	0	2	3	0
otu2846	3	6	0	1	2	13	0	10	23	0	1	4	0
otu2847	1	0	1	0	0	0	5	14	11	0	2	10	0
otu2848	4	0	0	0	8	1	1	2	11	0	0	26	0
otu2849	2	8	5	16	0	0	0	0	0	3	4	0	2
otu2850	0	0	0	43	0	0	0	0	0	0	1	4	0
otu2851	5	0	5	0	1	10	8	8	20	0	4	6	0
otu2852	18	16	2	5	0	6	2	6	26	0	2	10	0
otu2853	0	0	0	0	0	0	0	17	24	0	0	1	0
otu2855	0	0	0	0	0	0	2	4	34	0	0	0	0
otu2856	0	0	0	0	0	0	36	3	0	0	0	0	0
otu2857	0	0	0	0	0	0	8	12	27	0	0	1	0
otu2858	4	0	0	1	9	0	0	0	0	0	2	24	0
otu2859	0	0	0	0	0	0	0	33	6	0	0	1	0
otu2860	12	0	2	1	1	10	4	3	28	0	5	26	31
otu2862	7	3	0	9	4	21	0	0	0	0	0	0	0
otu2863	5	0	5	14	2	1	1	7	7	0	1	13	4
otu2864	1	11	0	20	0	0	0	4	5	0	6	1	6
otu2865	1	0	3	34	0	1	0	0	0	0	0	0	0
otu2866	8	0	6	1	5	14	0	0	0	0	0	6	0
otu2867	23	2	0	0	1	3	1	4	1	0	0	2	0
otu2868	4	0	0	0	2	1	3	6	12	0	0	13	0
otu2869	9	0	3	5	7	17	0	0	0	0	0	7	0
otu2871	0	0	0	0	1	2	3	11	25	0	0	3	0
otu2872	0	1	0	1	8	17	0	0	0	0	0	10	0
otu2873	1	0	1	35	1	3	0	0	21	0	2	8	2
otu2874	15	1	7	2	3	4	2	1	10	0	13	10	0
otu2877	0	0	0	5	0	0	0	0	0	41	1	0	10
otu2878	0	0	0	0	0	1	1	11	10	0	0	14	0
otu2879	6	20	0	0	0	11	0	0	0	0	0	0	0
otu2880	0	0	0	0	0	1	12	16	16	0	0	0	0
otu2881	12	0	0	0	6	18	0	0	11	0	0	1	0
otu2882	8	2	2	19	1	7	0	0	0	0	0	0	0
otu2883	22	3	2	0	1	12	0	1	0	0	2	1	0
otu2885	16	0	3	0	6	0	1	4	17	0	3	10	0
otu2886	1	0	3	4	4	26	0	0	0	0	0	8	0
otu2887	0	0	0	0	0	0	11	8	14	0	1	2	0
otu2888	0	1	0	0	21	33	0	2	0	0	0	1	0
otu2889	0	0	0	1	22	17	0	0	0	0	0	2	0
otu2890	4	0	0	7	0	0	2	3	11	3	8	6	23
otu2892	0	3	13	15	9	4	2	0	0	0	0	13	0
otu2893	12	5	3	2	2	6	0	0	0	0	8	11	0
otu2894	4	0	1	8	2	6	0	0	0	0	11	5	3
otu2895	2	0	0	0	1	0	28	3	5	0	1	3	0
otu2896	0	1	1	0	0	0	0	6	41	0	0	2	0
otu2897	1	0	0	0	9	1	0	3	13	0	1	20	0
otu2899	11	0	5	9	1	2	0	0	0	1	14	0	5
otu2900	2	16	0	11	0	3	0	1	5	0	0	1	0
otu2901	5	4	2	4	1	5	0	1	11	0	0	5	0
otu2902	3	5	1	0	3	23	0	5	18	0	1	4	0
otu2903	0	0	0	0	0	0	33	4	0	0	0	1	0
otu2904	6	0	0	28	0	0	0	0	0	7	5	0	24
otu2905	0	0	0	0	0	0	26	7	17	0	0	0	0
otu2906	1	0	0	0	4	0	0	2	31	0	0	5	0
otu2908	4	0	0	1	5	1	0	1	12	0	0	17	0
otu2909	6	0	0	0	0	3	1	4	19	0	1	3	0
otu2910	1	0	1	0	0	0	7	16	25	0	0	11	0
otu2911	0	0	0	0	0	0	7	14	14	0	0	2	0
otu2912	1	0	0	0	2	0	5	10	40	0	0	0	0
otu2913	1	0	0	0	5	34	0	0	0	0	0	0	0
otu2915	7	0	0	0	3	5	0	0	0	0	11	16	0
otu2916	10	7	2	39	3	4	2	6	29	1	11	10	4
otu2917	10	23	4	0	1	3	0	0	0	0	1	0	0
otu2918	12	1	1	3	0	13	4	7	8	1	1	13	0
otu2920	10	2	7	6	3	1	0	0	0	0	6	6	0
otu2921	8	29	8	8	1	4	0	0	0	1	4	1	2
otu2922	8	4	1	18	1	0	1	0	2	0	0	2	0
otu2923	6	0	0	0	2	0	1	6	14	0	3	8	0
otu2924	4	34	2	6	1	6	0	0	0	1	4	0	0
otu2925	9	1	3	16	3	2	0	8	14	0	4	6	6
otu2926	2	0	0	10	3	8	0	0	0	0	2	11	0
otu2927	0	0	0	5	0	0	0	0	0	34	1	0	0
otu2928	5	0	0	24	8	7	0	2	11	0	2	2	0
otu2929	5	21	0	0	4	16	0	0	0	0	0	0	0
otu2930	9	1	3	3	3	3	7	2	5	0	0	7	2
otu2931	9	0	0	2	1	11	0	0	12	0	3	6	0
otu2932	5	0	3	33	4	5	0	1	1	0	6	4	2
otu2933	0	0	0	0	0	0	1	6	38	0	0	0	0
otu2934	4	0	0	0	5	8	6	8	10	1	2	10	0
otu2935	7	1	1	0	4	5	4	3	11	0	0	4	0
otu2936	4	0	0	0	4	0	13	2	15	1	7	26	0
otu2937	3	1	0	31	3	0	0	0	3	0	0	0	0
otu2938	18	24	0	0	0	0	0	0	0	0	0	0	0
otu2939	16	4	2	0	6	11	11	8	26	0	0	5	0
otu2941	7	3	0	0	0	8	0	0	16	1	0	4	0
otu2942	1	0	1	24	2	15	0	2	0	0	2	3	0
otu2943	0	0	0	0	12	0	0	1	2	0	1	30	0
otu2945	6	12	2	14	0	11	0	0	0	0	0	0	0
otu2946	4	1	0	0	2	0	0	0	5	0	3	24	0
otu2947	19	0	0	8	0	13	0	0	0	0	5	0	0
otu2948	8	0	14	5	2	7	0	0	0	0	6	8	0
otu2949	4	28	0	2	0	3	0	0	0	0	6	0	0
otu2950	0	0	0	0	0	1	0	18	43	0	0	0	0
otu2951	2	0	1	0	22	0	1	1	20	0	0	28	0
otu2952	10	0	5	8	4	6	0	5	0	1	5	9	0
otu2955	0	0	0	0	0	0	5	11	24	0	0	1	0
otu2956	3	5	0	30	0	4	0	0	0	0	0	1	0
otu2957	0	0	0	0	4	0	0	2	47	0	3	19	0
otu2958	6	0	4	6	5	1	1	0	0	1	2	18	3
otu2959	0	0	3	4	0	0	0	0	0	0	6	0	47
otu2960	3	0	0	13	0	23	0	0	0	0	0	0	0
otu2962	1	0	0	1	0	1	13	21	25	0	0	9	0
otu2963	1	0	0	24	0	0	0	0	0	6	2	1	12
otu2964	0	0	13	24	0	0	0	0	0	0	0	0	1
otu2965	4	0	0	1	6	4	0	1	9	0	2	25	0
otu2966	1	0	0	0	7	1	0	12	33	0	0	5	0
otu2967	2	0	0	0	6	13	0	0	0	0	0	22	0
otu2968	3	0	4	39	0	0	0	0	0	0	0	0	1
otu2969	9	0	1	0	0	4	0	3	4	0	6	11	1
otu2971	0	10	2	20	0	2	0	0	0	0	0	0	3
otu2973	9	0	1	2	1	1	1	14	10	0	16	13	0
otu2975	0	0	0	28	0	0	0	0	0	2	1	0	10
otu2976	0	0	0	0	1	0	1	5	55	0	0	1	0
otu2977	14	0	2	13	5	1	0	0	0	6	6	4	0
otu2978	0	0	0	15	0	0	0	0	0	0	2	0	16
otu2979	8	0	25	1	5	1	0	0	0	0	11	11	1
otu2980	1	0	1	4	1	2	0	7	21	0	0	5	0
otu2981	0	0	0	66	0	0	0	0	0	0	3	0	0
otu2982	13	0	2	3	0	1	1	7	3	0	6	8	0
otu2983	9	1	10	20	0	0	0	0	0	0	4	0	2
otu2985	0	0	0	0	0	1	0	11	34	0	0	0	0
otu2986	0	0	0	4	0	0	0	0	0	0	0	0	38
otu2987	0	4	1	31	2	2	0	2	6	0	3	1	0
otu2991	4	0	0	0	0	1	3	2	15	0	1	19	0
otu2992	4	0	0	0	6	3	4	5	13	0	3	7	0
otu2993	1	0	0	2	13	16	0	0	0	0	0	10	0
otu2994	10	0	0	0	8	1	0	2	0	0	0	21	0
otu2996	35	2	2	1	1	22	5	5	16	0	0	5	0
otu2997	6	7	0	19	0	15	0	1	9	0	0	0	0
otu2998	2	0	0	0	0	1	8	10	10	0	2	15	0
otu2999	21	6	1	2	4	7	1	6	35	0	4	13	0
otu3000	5	0	2	27	0	2	0	0	0	0	1	0	0
otu3001	0	0	0	0	0	0	32	6	3	0	0	0	0
otu3002	24	0	19	1	1	0	0	0	1	0	1	2	3
otu3003	3	3	0	21	0	1	0	0	0	8	5	1	1
otu3004	0	0	0	0	0	0	1	13	18	0	0	7	0
otu3005	34	0	0	0	19	28	0	1	4	0	0	3	0
otu3006	0	0	0	0	0	1	11	8	7	0	0	12	0
otu3007	8	6	5	10	0	0	0	0	0	0	4	1	2
otu3008	1	1	0	0	0	29	0	0	5	0	0	1	0
otu3009	6	0	1	0	1	7	0	10	25	0	2	6	0
otu3010	4	1	1	0	1	2	1	6	6	0	9	4	0
otu3011	0	2	0	24	0	2	0	0	0	2	4	1	0
otu3013	4	4	0	0	0	0	13	5	2	0	8	3	0
otu3014	0	0	2	24	0	0	0	0	0	20	0	0	1
otu3015	18	0	6	2	1	11	2	7	10	0	3	7	0
otu3016	8	0	7	2	0	0	0	0	0	0	8	10	4
otu3017	2	0	1	0	0	29	0	0	0	0	5	0	0
otu3018	4	3	0	36	4	18	0	0	0	0	0	2	0
otu3019	0	0	0	0	4	1	5	4	68	0	0	0	0
otu3020	4	0	0	0	1	1	1	6	14	0	3	8	0
otu3021	0	0	6	38	0	0	0	0	0	0	1	0	4
otu3022	6	0	2	21	4	1	0	0	1	0	0	10	0
otu3023	0	0	0	0	1	0	2	18	15	0	0	2	0
otu3024	7	0	0	1	0	12	7	3	8	0	2	2	0
otu3025	3	0	5	3	5	16	0	0	0	1	0	7	0
otu3026	25	1	2	0	0	1	0	2	5	0	4	3	0
otu3027	23	0	0	0	0	0	0	0	0	0	0	16	0
otu3028	0	0	0	0	0	0	6	11	25	0	0	0	0
otu3030	0	0	0	37	0	0	0	0	0	0	3	0	3
otu3031	0	0	0	0	0	0	5	17	32	0	0	0	0
otu3032	0	0	0	65	0	0	0	0	0	0	0	6	0
otu3033	0	0	0	0	2	12	0	6	18	0	0	0	0
otu3034	0	0	0	0	1	0	9	21	17	0	0	1	0
otu3035	0	0	0	0	0	0	16	26	1	0	0	1	0
otu3036	2	0	2	20	0	12	0	0	0	0	1	2	0
otu3037	1	0	1	0	0	0	7	18	11	0	2	1	0
otu3038	0	28	0	0	0	15	0	0	0	0	0	0	0
otu3039	5	15	7	0	0	13	0	0	0	0	1	0	0
otu3040	23	2	3	5	1	5	0	0	0	0	0	5	5
otu3041	0	0	0	0	0	0	36	21	6	0	0	0	0
otu3042	4	0	2	0	2	0	3	6	13	0	0	9	0
otu3043	0	0	0	0	1	1	0	4	25	0	2	6	0
otu3044	4	0	0	0	4	0	0	0	2	0	4	26	0
otu3045	5	0	0	3	11	10	0	0	1	0	0	8	0
otu3046	16	0	5	11	5	5	0	0	0	0	0	6	0
otu3047	0	0	5	0	0	0	0	0	0	0	0	0	39
otu3048	0	0	1	0	0	0	0	0	0	4	0	0	39
otu3049	5	0	0	2	1	2	0	5	17	1	5	7	0
otu3050	4	0	1	34	0	0	0	0	0	1	7	4	10
otu3051	0	0	0	2	3	27	4	4	13	0	5	2	0
otu3052	2	0	0	0	1	1	1	3	63	0	0	2	0
otu3054	4	0	0	2	6	10	0	0	0	0	0	16	0
otu3056	4	13	0	8	0	0	0	1	0	0	0	1	15
otu3057	6	0	0	0	0	0	0	4	0	0	2	32	0
otu3058	1	0	0	1	0	0	0	14	3	0	1	33	0
otu3059	10	5	0	0	1	16	0	0	0	0	0	0	0
otu3060	2	0	0	0	31	7	0	0	0	0	0	1	0
otu3062	12	0	1	2	1	30	0	0	0	0	0	3	0
otu3063	2	1	0	0	0	1	11	8	30	0	0	3	0
otu3064	3	0	1	0	2	5	0	6	12	0	3	10	0
otu3065	0	0	0	1	0	0	0	0	0	2	14	0	23
otu3066	19	1	1	10	0	4	0	0	0	1	1	0	0
otu3067	10	0	0	0	1	0	9	7	7	0	1	14	0
otu3070	10	0	5	0	0	0	0	0	3	0	15	4	2
otu3071	3	0	5	1	15	6	0	0	0	0	7	24	0
otu3072	0	0	1	4	0	0	1	1	5	0	3	3	28
otu3073	2	0	0	1	2	1	2	6	32	0	2	21	0
otu3074	0	0	0	41	0	0	0	0	0	0	7	1	0
otu3075	0	0	0	27	1	1	0	0	0	0	4	4	3
otu3076	0	0	0	0	0	0	0	4	28	0	0	10	0
otu3077	1	0	10	0	0	0	13	15	3	0	0	1	0
otu3079	18	3	1	6	1	3	1	0	3	0	0	6	0
otu3081	1	0	1	11	4	15	0	2	11	0	2	9	0
otu3083	0	0	0	0	0	0	10	7	23	0	0	1	0
otu3085	4	0	2	9	2	1	0	11	2	0	1	7	0
otu3086	0	18	0	0	0	14	1	2	3	0	0	0	0
otu3087	3	0	1	1	0	4	3	11	13	0	4	6	0
otu3088	4	2	0	2	11	1	1	1	29	0	6	40	0
otu3089	1	0	1	21	1	11	2	0	0	0	0	5	7
otu3090	2	0	0	0	1	0	1	4	23	0	0	6	0
otu3091	2	0	1	0	1	25	0	2	5	0	0	0	0
otu3092	9	3	1	26	1	3	0	0	0	0	2	3	1
otu3093	18	11	2	0	3	3	0	0	0	0	0	0	0
otu3097	2	1	3	24	2	5	0	0	0	0	3	1	2
otu3098	15	0	6	8	5	1	0	7	13	0	4	27	0
otu3100	15	22	0	10	0	2	0	0	0	6	4	0	7
otu3101	8	5	2	10	3	5	0	1	8	0	1	1	1
otu3102	0	0	2	0	1	5	14	12	6	0	0	2	0
otu3103	0	0	0	0	0	0	5	7	46	0	0	0	0
otu3104	6	1	0	0	3	17	0	2	4	0	0	0	0
otu3105	0	0	0	0	0	0	10	23	0	0	0	0	0
otu3106	1	19	0	2	0	23	0	0	0	0	0	0	0
otu3107	0	0	0	13	0	0	0	0	0	2	4	0	22
otu3108	9	0	3	1	1	0	0	6	0	0	5	10	0
otu3109	4	0	4	1	3	0	0	4	27	0	2	17	8
otu3110	2	1	0	2	37	3	0	0	0	0	1	16	0
otu3111	0	0	0	14	0	0	0	0	0	0	0	0	23
otu3112	6	0	4	0	0	0	0	3	5	0	0	32	0
otu3114	0	0	1	0	15	15	0	0	0	0	0	0	0
otu3115	11	0	4	0	8	8	0	1	39	0	0	12	0
otu3116	3	0	0	0	9	8	0	7	18	0	1	26	0
otu3117	1	0	0	0	8	1	0	8	18	0	0	11	0
otu3118	0	0	0	0	7	0	0	1	28	0	1	4	0
otu3121	0	1	0	0	1	3	8	3	46	0	1	5	0
otu3122	0	0	0	15	0	0	0	0	0	24	0	0	0
otu3123	5	0	7	7	1	1	0	2	2	0	2	5	14
otu3124	2	0	0	0	6	4	0	15	16	0	0	4	0
otu3125	2	0	4	12	0	3	3	6	15	0	0	7	0
otu3126	0	0	0	13	0	0	0	0	0	1	0	0	24
otu3128	0	0	0	0	0	1	14	9	10	0	1	4	0
otu3129	0	0	0	0	0	0	11	24	5	0	0	0	0
otu3130	15	1	0	15	0	5	0	0	0	0	0	0	0
otu3133	7	2	4	14	0	3	0	0	0	0	1	1	2
otu3134	3	0	2	23	2	3	0	0	4	0	1	6	1
otu3135	1	0	0	19	3	0	0	0	0	1	9	1	0
otu3136	9	0	1	5	8	3	0	6	11	0	5	13	0
otu3138	8	0	4	0	0	7	0	2	28	0	0	3	0
otu3139	18	0	0	0	3	11	57	11	21	0	0	6	0
otu3140	5	0	4	2	4	2	21	11	31	0	0	5	0
otu3141	7	0	0	35	5	4	0	1	3	0	1	3	0
otu3142	4	0	0	0	5	33	0	5	16	0	0	0	0
otu3143	8	0	4	12	2	3	0	0	0	0	6	0	6
otu3144	10	0	10	3	4	1	0	5	4	0	8	38	0
otu3146	8	6	0	3	0	5	0	5	7	0	0	2	0
otu3147	0	0	0	0	0	0	25	7	4	0	0	0	0
otu3149	0	0	0	0	2	0	0	4	34	0	0	1	0
otu3150	1	1	0	20	4	11	0	1	10	0	0	1	0
otu3151	1	0	0	0	0	0	13	14	43	0	1	0	0
otu3152	5	0	0	0	0	1	8	7	7	0	1	11	0
otu3153	3	0	0	0	0	40	0	0	7	0	1	0	0
otu3154	9	1	2	1	0	0	1	2	5	0	9	5	0
otu3155	0	0	0	0	0	4	34	12	2	0	0	0	0
otu3156	0	0	0	0	1	0	0	4	38	0	0	2	0
otu3157	1	0	0	0	4	1	1	2	16	0	0	13	0
otu3158	1	0	1	0	3	0	1	2	31	0	0	4	0
otu3159	1	0	0	0	2	0	0	3	35	0	0	0	0
otu3161	0	0	2	27	0	2	0	0	0	0	0	7	0
otu3163	0	0	0	0	3	15	0	1	12	0	1	9	0
otu3164	0	0	0	0	0	0	0	5	28	0	0	2	0
otu3165	6	3	0	0	11	11	0	0	0	0	0	6	0
otu3166	0	0	0	10	0	1	4	16	41	0	2	9	2
otu3168	0	0	0	1	3	0	30	11	4	0	0	4	0
otu3169	23	1	1	0	2	7	0	0	5	0	0	0	0
otu3170	3	0	4	1	0	0	10	9	21	0	3	11	1
otu3171	0	0	0	0	2	0	0	0	34	0	0	4	0
otu3172	10	0	1	0	1	3	0	0	13	0	6	1	0
otu3173	0	0	0	22	0	0	0	0	0	3	4	1	9
otu3174	1	0	1	0	5	11	0	0	1	0	3	14	0
otu3175	0	4	0	0	0	0	3	2	0	3	12	1	16
otu3176	5	1	7	23	1	1	0	0	0	0	2	0	0
otu3177	1	0	0	0	1	0	0	4	32	0	0	0	0
otu3179	0	0	0	0	0	0	0	13	24	0	0	0	0
otu3180	0	0	0	0	5	1	2	2	22	0	0	6	0
otu3181	23	2	7	3	0	1	0	0	0	0	0	5	0
otu3182	0	0	0	0	2	0	7	4	31	1	2	8	0
otu3183	6	1	4	15	4	13	0	3	3	0	2	2	0
otu3184	5	3	1	19	0	4	0	0	0	0	1	0	3
otu3185	4	0	0	0	0	0	19	8	4	0	0	0	0
otu3186	14	0	0	0	0	5	3	10	9	0	7	1	1
otu3187	3	4	0	56	1	6	0	0	0	0	3	3	0
otu3189	0	0	0	0	3	0	0	1	39	0	0	3	0
otu3190	8	19	1	0	0	7	0	0	0	0	0	0	0
otu3191	6	0	0	0	7	1	0	2	9	0	0	11	0
otu3192	8	0	5	14	4	3	0	0	0	0	0	4	2
otu3193	3	0	0	0	1	1	1	0	22	0	1	13	0
otu3194	0	0	0	0	0	0	0	14	31	0	0	0	0
otu3195	11	0	0	0	11	0	2	10	5	0	0	11	0
otu3196	0	0	0	27	0	0	0	0	0	9	2	0	9
otu3197	4	0	3	14	5	1	0	0	0	0	1	11	1
otu3198	0	0	0	0	0	0	0	22	18	0	0	2	0
otu3199	0	0	0	36	0	0	0	1	1	0	0	0	14
otu3200	0	1	0	0	0	0	50	14	3	0	0	0	0
otu3201	7	22	1	3	1	10	0	0	0	2	2	1	0
otu3202	0	0	0	0	0	0	15	14	8	0	0	1	0
otu3203	5	1	0	0	4	10	11	13	25	0	1	2	0
otu3204	6	3	0	19	1	3	0	0	0	0	0	6	0
otu3205	14	0	5	0	1	22	0	0	0	0	0	2	0
otu3206	0	0	0	3	0	0	0	0	0	1	8	0	27
otu3207	9	0	0	0	10	2	0	0	25	0	0	0	0
otu3208	8	0	2	0	1	12	0	1	10	0	1	0	0
otu3209	0	0	0	0	0	0	26	27	14	0	0	0	0
otu3210	5	2	3	7	9	4	0	0	0	0	1	10	0
otu3211	15	1	0	1	1	5	1	1	5	0	3	6	0
otu3212	9	0	4	0	2	17	2	2	4	0	0	1	0
otu3214	8	2	1	1	1	2	3	5	6	1	18	12	0
otu3215	10	22	0	1	2	5	0	0	0	0	0	2	0
otu3216	2	4	9	38	0	0	0	0	0	28	0	0	11
otu3217	17	0	0	0	0	0	8	8	6	0	0	3	0
otu3218	0	0	4	28	0	0	0	0	0	1	0	0	1
otu3219	2	0	3	2	1	22	1	6	2	0	0	1	0
otu3220	2	0	0	0	9	18	0	0	0	0	0	2	0
otu3222	0	0	0	32	0	0	0	0	0	0	1	0	5
otu3223	2	0	0	0	0	0	3	3	28	0	0	0	1
otu3224	0	0	0	13	0	0	0	0	0	1	15	0	7
otu3225	2	0	0	0	0	0	0	14	21	0	0	4	0
otu3226	13	0	0	0	5	11	0	0	0	0	0	5	0
otu3227	0	0	3	13	0	0	0	0	0	4	7	1	14
otu3228	14	0	1	6	0	2	0	0	0	0	0	12	0
otu3229	2	0	3	0	1	0	0	0	0	0	2	8	30
otu3230	1	3	1	23	0	2	0	0	0	0	9	0	0
otu3231	4	0	0	15	0	8	5	7	2	0	1	1	2
otu3232	0	0	0	31	1	0	0	0	0	0	4	0	0
otu3234	0	0	1	27	1	2	0	0	0	0	0	0	4
otu3235	4	2	0	6	6	28	0	0	1	0	0	1	0
otu3236	6	0	0	24	2	7	1	1	6	0	1	7	0
otu3237	3	0	0	32	9	19	0	0	0	0	0	0	0
otu3238	0	0	0	0	1	0	0	4	38	0	0	2	0
otu3239	0	0	0	0	4	0	1	12	21	0	0	7	0
otu3240	0	1	0	4	0	0	12	4	11	0	0	0	0
otu3241	10	0	1	7	0	4	2	0	8	0	5	6	0
otu3242	4	12	12	5	2	4	2	1	5	0	1	0	0
otu3243	10	2	5	3	1	4	17	4	39	0	4	5	4
otu3244	10	3	5	13	5	10	0	3	11	0	0	17	0
otu3245	0	0	0	0	0	0	0	54	4	0	0	0	0
otu3246	2	0	0	0	2	8	0	1	24	0	0	9	0
otu3247	0	0	0	0	0	0	7	28	10	0	0	1	0
otu3248	22	2	2	1	2	13	1	5	6	0	7	6	0
otu3249	7	1	5	5	0	2	2	0	1	0	15	5	1
otu3250	11	2	1	0	2	11	0	2	7	0	2	7	0
otu3251	2	1	0	0	0	2	15	18	28	0	0	1	0
otu3252	3	0	0	0	6	2	17	5	23	0	0	2	0
otu3253	4	1	3	0	1	7	21	2	3	0	1	0	0
otu3254	7	0	2	9	4	2	0	18	30	0	0	9	0
otu3255	2	0	0	0	0	1	5	9	12	0	3	4	0
otu3257	1	0	0	0	1	0	1	3	18	0	5	8	0
otu3258	7	0	0	10	6	15	0	0	0	0	0	6	0
otu3259	0	0	0	0	1	0	1	5	37	0	0	6	0
otu3260	3	3	1	1	0	1	1	4	16	0	2	9	0
otu3261	17	0	5	16	0	4	2	0	3	0	2	2	0
otu3262	1	0	1	0	0	2	1	7	24	0	3	13	0
otu3263	4	0	0	7	0	3	11	0	12	0	1	29	0
otu3264	12	0	1	0	1	0	0	3	9	0	1	7	0
otu3265	1	0	0	0	17	3	0	4	9	0	0	11	0
otu3266	10	0	2	0	0	1	5	4	12	0	0	2	0
otu3267	3	0	0	0	0	0	14	4	14	0	1	0	0
otu3269	3	0	8	19	0	1	0	0	2	0	2	1	3
otu3270	23	4	0	1	2	6	12	6	7	0	0	3	0
otu3271	1	0	8	9	0	0	0	0	0	0	17	3	6
otu3272	12	0	1	10	3	15	0	0	3	0	0	3	0
otu3273	0	0	1	0	1	1	4	4	15	0	1	6	0
otu3274	5	0	0	0	0	26	1	2	4	0	0	0	0
otu3275	5	0	2	0	3	1	0	0	18	0	0	12	0
otu3276	5	0	0	0	1	0	8	2	4	0	1	2	19
otu3278	1	0	0	0	2	0	16	11	14	0	1	10	0
otu3279	30	1	0	0	0	4	0	0	1	0	0	0	0
otu3280	0	0	0	0	0	0	25	12	6	0	0	0	0
otu3282	3	0	0	0	0	27	3	1	1	0	0	0	0
otu3283	1	0	0	0	0	1	36	2	0	0	3	0	0
otu3286	9	0	0	0	16	4	0	0	0	0	0	4	0
otu3287	1	1	2	26	2	5	0	1	0	0	1	2	1
otu3288	6	1	0	0	1	5	6	6	9	0	1	0	0
otu3289	13	2	2	0	0	9	3	1	14	0	1	3	0
otu3290	0	0	0	0	1	0	21	10	2	0	0	1	0
otu3292	0	0	0	16	0	0	0	1	2	21	0	0	4
otu3294	10	2	0	0	3	11	1	0	10	0	0	0	0
otu3295	16	3	3	1	0	7	1	0	13	1	2	2	0
otu3296	4	0	0	0	0	0	0	27	11	0	1	0	0
otu3297	0	0	0	0	0	0	5	27	23	0	0	0	0
otu3298	3	0	0	1	0	30	0	0	0	0	0	1	0
otu3299	3	0	2	45	0	2	0	11	1	0	1	4	0
otu3300	0	0	14	0	0	6	0	18	10	0	1	7	0
otu3301	7	13	8	0	0	0	0	0	0	0	4	3	5
otu3302	5	0	0	0	4	0	0	0	3	0	0	25	0
otu3303	1	0	0	0	0	0	2	6	30	0	0	2	0
