accnos	align	path
otu1096	f06b6ad361b0bffebbff0a40a0b314eebc76f4e5_123	99.5799942	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Pelagibius;
otu1097	fd7ecbf33a724ff9f8a224895464569cfc169f0a_164	99.5816803	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ilumatobacter;
otu1099	11542869b6c536de0c0d75ca8d9d4c497fd58089_109	99.0902634	Bacteria;Candidate division WS3;
otu1100	1806c0bcbcc388327c4f2bc5d0abb633e8157fba_141	99.5758972	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionII;FamilyII;Pleurocapsa;
otu1101	1bd18f67649ca3d58ccef23468ac5b1a997fde7f_108	99.6008835	Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;uncultured;
otu1102	27cf62b9cc87850ec89e861de637a90a9cfd5352_110	99.6001816	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Pseudospirillum;
otu1103	293d6ef8c882759c0045e443e4e2bbadfa9309d7_115	99.5975647	Bacteria;Proteobacteria;Gammaproteobacteria;KI89A clade;
otu1104	2c10660cd9fc12691564f7ac9970c6b08720947f_102	99.1352386	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
otu1105	2ca6d66f9b576c7df04730b2c61f904280e10ce7_109	99.5944901	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;
otu1106	819e5f84eab9b41e8888d7798a82850d611dfa67_105	99.5889435	Bacteria;Gemmatimonadetes;Gemmatimonadetes;BD2-11 terrestrial group;
otu1107	8acc18a215db311002b8b087a2e3757d27c52f36_110	99.1054382	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;
otu1108	9192775e6509ba2b7ddf96c9c933acfbbf9edc31_108	97.7381592	Bacteria;TA06;
otu1109	a68ec005b8cb6368a98f0689785d2cf51f8dc7f5_108	97.6134415	Bacteria;Verrucomicrobia;OPB35 soil group;
otu1110	ba9dfed334037d2be50d4f4bf188a514bd40ded7_158	99.5837173	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
otu1111	da9218b06ca08147ec4c5934a59778782dc1228c_122	100	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;
otu1112	e75081b14b251fdc3da2dee85e3fe9edb1296e5d_109	99.3722	Bacteria;Bacteroidetes;Cytophagia;Order II;Rhodothermaceae;uncultured;
otu1113	0183e41a56c8cb25407726e635beada2afd6c954_114	99.4052505	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Marinoscillum;
otu1114	38fc3943403dfed6d4226574f64a101de4a86385_116	99.4201965	Bacteria;Acidobacteria;Holophagae;Subgroup 10;CA002;
otu1115	50dc55a09e891c147429a02414152582fcc2dfa9_114	98.878212	Bacteria;Bacteroidetes;Cytophagia;Order III;
otu1117	dcadbfe9f5fd8eeb01c2a3dc5ced3c1aeab66c2e_104	100	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;4-29;
otu1118	ee54975feb73b33ec39d7e2ae9d7a1df2b141f7d_119	99.5961304	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Thalassomonas;
otu1119	144dd2454148fbadb966bf6a1800c95ca380b506_148	99.6034317	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;JTB255 marine benthic group;
otu1121	2781d1e5dc67c06a2a1d7cc17c99f2bc34773677_115	100	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Incertae Sedis;
otu1122	393427bcf28946815c067823caffd2bd75626268_187	99.5942001	Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Sedimenticola;
otu1123	3e7d3c04252abe9ae153b3edb3fbe4a3df3cbe52_129	100	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionII;uncultured;
otu1124	50e594e2dadf96d092e018ed85f8fc213e8671e6_138	99.6035004	Bacteria;Proteobacteria;Gammaproteobacteria;BD7-8 marine group;
otu1125	5b1edcde6a89402b0313ea9d85fd184e703d11ab_114	98.5516663	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus;
otu1126	71e4353d37012186f17704aa515851cd3f1d081f_168	99.5918503	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;
otu1127	9ac9fe189dbcb0e36df64620f69d03b0632eb696_107	99.3327484	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;
otu1128	9e96ea7e51de67c6c4d2fd7a91a427bda11820fe_98	99.1668167	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu1129	a503516037f015f439d50d5f4ffc91edaa727da0_106	99.6017761	Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;uncultured;
otu1130	d634f695872d337708c47fb0910bf7b32f9034b1_161	99.5689545	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;
otu1131	eec3e9b3016549bec0e542a97f19aadef4112979_244	99.4158783	Bacteria;Gemmatimonadetes;Gemmatimonadetes;BD2-11 terrestrial group;
otu1132	09518d788812f35211e4ecf2402e80b626654510_111	99.1683197	Bacteria;Proteobacteria;Gammaproteobacteria;BD7-8 marine group;
otu1133	0aa19af829871f8b1403511e1c1804eb89b1105a_200	98.7270737	Bacteria;Proteobacteria;Deltaproteobacteria;Sh765B-TzT-29;
otu1134	155c50ab5ff789626f752d861a9fd53ca1252e3d_107	98.9575424	Bacteria;Proteobacteria;Gammaproteobacteria;Order Incertae Sedis;Family Incertae Sedis;Marinicella;
otu1135	18e988c98561ee208ac55ddc4f63a6ed96c976bf_119	99.1965408	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;
otu1136	1cf49e908c16c848cda2e857f0939f7c9330786d_202	99.5956268	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidiferrobacter;
otu1137	2599d2e38366d23f2e2e2c0665577d89918a8354_167	100	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Sva0081 sediment group;
otu1139	36ebdad4a90c666cdcbe189f8f316ac11477dcec_100	98.2276154	Bacteria;Candidate division WS3;
otu1141	68acca7f3eaee76013b652a82922ce182ef6e878_154	99.2076492	Bacteria;Chloroflexi;Ardenticatenia;uncultured;
otu1142	7b4857aeb795f8a8a8972a607f17378139032709_108	96.0960007	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;uncultured;
otu1144	a4bc35f43de993608df4c4c1cb61e03a399c2ec9_112	99.5959091	Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Thiohalophilus;
otu1145	b81cefe1f76a0d1a8604ac8f3348ce1c905fc01d_103	97.4974976	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
otu1146	c700e993c96b5ce2bbb22bceed03ee718a27b995_99	99.5920486	Bacteria;Candidate division OP8;
otu1147	cf459758117538610a398ef82807bfb6e682a4d5_98	97.650383	Bacteria;Proteobacteria;Gammaproteobacteria;
otu1148	e224cd2fd6b58202ca934d1608bed8fcf55a26c2_103	99.5760727	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;uncultured;
otu1149	46348ee4e121c699d5e719ba5110a2058f0b70c7_121	99.1257095	Bacteria;Spirochaetae;Spirochaetes;Spirochaetales;Spirochaetaceae;Spirochaeta;
otu1150	48bedc4f314be96fea973e4564c88ad1000f819e_93	99.296196	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;
otu1152	55ec676de8794276e9888d76473e503535c63d9a_133	99.3975143	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales;Desulfarculaceae;uncultured;
otu1153	5799ef1cfb17efc3715340ad69c15b3add0f9603_112	98.5417099	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
otu1155	7a9a97fd82e577284a012923b4bf91f8755bc669_159	99.5809174	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Blastopirellula;
otu1156	a3544747738d2486305831a837ad9d25fcff35a8_108	99.5709839	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacterales Incertae Sedis;Caldithrix;
otu1157	a8d41f042a82db4baefee0f1688c5c57e75a955d_116	98.2976303	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;SEEP-SRB1;
otu1158	b9931f6c99b234b5a1247e38cda00779212be29d_109	99.5756073	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionII;FamilyII;Pleurocapsa;
otu1159	c983b48dc7b892fceb5e421deb038e7ec0472ffa_122	99.2255783	Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;PHOS-HE36;
otu1160	cdcdaef0be19ecaf9f6e2574751632d446d792e5_117	99.5949707	Bacteria;Proteobacteria;SPOTSOCT00m83;
otu1161	e15bdcd273229fe093b180c3104ec615cf5adf2a_111	99.5831909	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;uncultured;
otu1162	211826ee2d3327936ce01a1336bca435ad09b8dd_100	99.5964584	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;uncultured;
otu1163	2f4e68789e615c128c9d31dc323db6c9308a4293_119	99.5914307	Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;uncultured;
otu1164	3de7e4a44886c40c2281c9c42096a57969a25e29_125	99.5858078	Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;IheB3-7;
otu1165	3e1412c7bcc9848bba5d2b27d0be65fd5f2f9cfe_107	100	Bacteria;Proteobacteria;pItb-vmat-80;
otu1166	4bd54da660948a5fe699c51154f1b9f5789ebd0e_92	99.5897675	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;uncultured;
otu1168	5d880e23b174277474eee0b91d28a6f3fa7549ef_95	99.2300186	Bacteria;Candidate division WS3;
otu1169	822467eb76f0d50d4e4286081d2154d4155fb015_99	98.6246033	Bacteria;Bacteroidetes;BD2-2;
otu1171	a45cb0ef9fcda6c64ed26d90b5e4f332269e98e8_108	98.3553772	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;
otu1172	a8dbba11c97b15ee735558cc2efa439327f8c531_220	99.3935547	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Deferrisoma;
otu1173	c6630c613b238e7b068b866ccffa0cdc2b2e417f_175	99.5773697	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionII;FamilyII;Pleurocapsa;
otu1174	d269395efec0d3d6d4361c6d2ec788095a58a95f_129	99.5808716	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
otu1175	e0e2c60f2a307b1e44d4dfe7a4ab26b86133ece8_107	98.8471069	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Urania-1B-19 marine sediment group;
otu1177	1143d3a32348db1f67930652acc3ef35473d62ee_189	99.5830154	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
otu1178	17321912b2eaab867f52fb1aa3f8c30f6ad40552_149	99.1889496	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Kangiella;
otu1179	17b96c80ec99ae7b54180815ccaa5c038afab82d_102	97.4364853	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu1180	3b6eff0ec42bf1e868d00e58024a18dff481b76a_102	98.7322922	Bacteria;Bacteroidetes;
otu1181	40bead0fbfed3d73589ec6027b11af96c353f7f6_107	99.6002808	Bacteria;Proteobacteria;Gammaproteobacteria;BD7-8 marine group;
otu1182	41b461499f48a95b0f9a526f3c4fa7e0086144ce_92	98.4829559	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Marinoscillum;
otu1183	55193d9f73150a4e715461e09b23f6305b959d0f_104	99.3920517	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Reichenbachiella;
otu1184	68285970d8548f2faf08658bfcfa7a7515b5d170_113	99.6013031	Bacteria;Proteobacteria;Gammaproteobacteria;BD7-8 marine group;
otu1185	7e1588f1110295816a7a59960ba54584f58383a7_101	98.6172104	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
otu1186	8485d4b31dca125383a224544721e81a01f17e2c_87	98.6154556	Bacteria;Bacteroidetes;BD2-2;
otu1187	8d79407348c9e7e4a69f71a6744a20e305c8ae99_97	98.8334808	Bacteria;Proteobacteria;Gammaproteobacteria;KI89A clade;
otu1188	8f08fe99ce56cdd5a4d7f869aca6b7e88df29aac_114	98.562294	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu1189	9669bbe85dfbcfe1db02e54b152a89a42eaf213e_181	99.0371628	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;JTB255 marine benthic group;
otu1190	b926758442cc7f0c47273992a42d31789a0c076d_98	99.5663376	Bacteria;Acidobacteria;Acidobacteria;Subgroup 3;PAUC26f;
otu1192	d24e25733aacedee2b59c93841f26c13a935e802_102	97.7325058	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);
otu1193	d80b5c756d52103412ee39c2c6a7c8eaf6d715c8_131	99.211731	Bacteria;Acidobacteria;Acidobacteria;Subgroup 17;
otu1194	f1903a228643f1490d461d71500d2b14ddfd6029_166	99.598526	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales;Desulfarculaceae;uncultured;
otu1195	fb948a4314d470b22155b64a015ee76762e862a5_119	99.5933685	Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;uncultured;
otu1196	00d2c0577f0fdb58e19826284b32bf439f40a1ae_97	98.9507065	Bacteria;TA06;
otu1197	03cf3e1f190d0d19dd6116a7f7628ef5b3e6af52_101	99.5830765	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;uncultured;
otu1198	12a2c33224f6466a75d7fbd8bf14e6aed4840a3f_96	99.5804672	Bacteria;Proteobacteria;Deltaproteobacteria;Sh765B-TzT-29;
otu1199	2096cd11805f5b5d41d24d4bd37f9e9cd601dff7_84	97.2137527	Bacteria;Lentisphaerae;
otu1200	2b9d1691aac2074328dcb28f5dd9ffc8fc9f3386_94	98.7651825	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacterales Incertae Sedis;Caldithrix;
otu1202	474a757dbd28e21efbcd77e68d77cb4c5c7590c7_100	99.5809174	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
otu1203	57fe8364bb8813f7ef28394aefa48bafca503bd9_102	99.5936432	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Thalassomonas;
otu1204	5fdcff058b32a11967473bca0dfe681fa1a5120a_100	96.810112	Bacteria;Verrucomicrobia;OPB35 soil group;
otu1205	65db8acad70848e9de7dc414cd40f0510a07bc2e_90	99.5839462	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;
otu1206	66ee1819922343ee8171bf559ed2582c2da24dbd_86	98.8097153	Bacteria;Lentisphaerae;Oligosphaeria;
otu1207	8a4b8d01f3cc732c61bb5f80df05c80c008d209f_126	96.1232224	Bacteria;Proteobacteria;Deltaproteobacteria;GR-WP33-30;
otu1208	92e8e080a56ad76b06d9e2d49d342ae01e96e071_96	99.102417	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;
otu1209	94506a23fcd2f71163a07c56fd2cb19f0a4de427_142	98.4128799	Bacteria;Candidate division WS3;
otu1210	97c1afa66326c0ffeb3f70d7fab2a0566a69a7d7_85	98.2675552	Bacteria;Proteobacteria;Deltaproteobacteria;43F-1404R;
otu1211	989355677ac568fece00e45ebd5041705d22a63b_96	99.367691	Bacteria;Proteobacteria;Deltaproteobacteria;43F-1404R;
otu1212	9950a53c2fc159255264d5c189b6f74f5f893607_93	99.3901749	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;uncultured;
otu1214	a8f17f66803e03a42822272253aa5e6ba85b0d76_158	98.5429459	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;MSB-1E8;
otu1215	aa47f4c7574d7134493812066c66f09218925f39_107	95.9769363	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales;Desulfarculaceae;uncultured;
otu1216	b355ba6957d316ef3f1a39838c56cb528a1a0f7e_91	99.272522	Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;IheB3-7;
otu1217	b42bbd620ef8594e060c3a29b25ad6f4c459516c_114	98.9930344	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;
otu1219	d0247ea366f0873a93dd17170287495619bf3629_110	99.4119644	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;JTB255 marine benthic group;
otu1220	db038ed67e1eb781a402d3d9bde1a88b8365c973_135	99.4388428	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Urania-1B-19 marine sediment group;
otu1221	de8c263e3cb3d38b90ad87d71e6591c29622240a_113	99.6029205	Bacteria;Proteobacteria;Gammaproteobacteria;
otu1223	051f92405a2c4d436a97680c9ce333dcf8c32e28_110	100	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;JTB255 marine benthic group;
otu1225	3a660cde427bb3dc06dc03cd7de15f185340580f_85	99.5901184	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;uncultured;
otu1226	4edc05b27c94da99344d8ba27b83c16e60c202ec_91	99.5690689	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;
otu1227	6ca4a8501c5c9096559fd699aa084a2822c6526a_127	98.8862534	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfococcus;
otu1228	789c29c2665884c97e087dee9f9ba0ae696bdb46_98	96.8057861	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacterales Incertae Sedis;Caldithrix;
otu1229	891fe4d523cabd476042b1f6762169c27186a852_94	99.5933151	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;uncultured;
otu1230	8c13d2e407244dfc8e6ad887ffbd715f8894daea_162	98.8147888	Bacteria;Planctomycetes;Pla3 lineage;
otu1231	b328819b9d7e9271617e7b5b20f52bf64f7552e6_84	99.0244904	Bacteria;Lentisphaerae;R76-B128;
otu1232	c558ce0957a747ad3cca36145bae0bdbb717a792_90	99.0849762	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
otu1233	c7e15fcdaf29b5aca897a6c2d0e7efecba61affe_98	99.5575485	Bacteria;SHA-109;
otu1234	cc5db9beb0c6b6862c304d4abf5a6ba820ef5fcd_177	99.5945587	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales;Desulfarculaceae;uncultured;
otu1235	e787d3508dbe5b08c83112857d5b23904d4751bd_95	99.5658264	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Tistlia;
otu1236	e86667f0141f39a259739d016f3ddde93505d7fd_176	98.7347031	Bacteria;Acidobacteria;Acidobacteria;Subgroup 21;
otu1237	ea028141acf15a404b361f5175401dd7cf26c5c7_86	99.5782928	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidiferrobacter;
otu1238	fca840a4121cc1d292a2ce380abeb666c3b4bb06_97	98.6067505	Bacteria;Proteobacteria;Gammaproteobacteria;Order Incertae Sedis;Family Incertae Sedis;Marinicella;
otu1239	fe473ef940db7d8ce43032c90518a6ba6b1a77b5_183	98.1270142	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;
otu1240	0dbd4faa0778cb4d089bf2dbc521e7ebc5cb74a6_112	99.0669632	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
otu1241	28320bc306a414ecbd0ef0459f9faf308cf28870_84	99.5832596	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu1242	4221b2f8b05cdeea6e78e0ac1092cf8ba25396cd_84	99.5709457	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;TK34;
otu1243	5f423f5b7a3c52202dd5ac0cf8f3a372a61960b9_149	99.5774002	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;
otu1244	638bd3000b03821e5794a533a21e1d4b8d24ed48_95	98.9845734	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;
otu1245	9709818b7ba3d70e69d2a2df704320054f0876f0_92	99.5893021	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacterales Incertae Sedis;Caldithrix;
otu1247	9c9cf12a704465e00cb2a4877149293542b3e445_130	98.9869308	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;
otu1248	cb0edb293e4de18deb1a94d2982285906c2121c2_101	99.5997772	Bacteria;Proteobacteria;Deltaproteobacteria;Sh765B-TzT-29;
otu1249	d3d175f6591bf0fb99849e694f4ce1f9e3dbfc29_98	99.593895	Bacteria;Acidobacteria;Holophagae;Subgroup 10;Sva0725;
otu1251	e96aee0781bb3d9e46b10597424825cb5ccd8402_452	99.5756607	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Sva0996 marine group;
otu1253	f8e1669bb7bc30dfd4c4ea763af9135081365795_97	99.4127502	Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;PHOS-HE36;
otu1254	fd61e2f8a63fba736d4b120faeada916d87eb559_94	99.6035995	Bacteria;Proteobacteria;Gammaproteobacteria;BD7-8 marine group;
otu1256	020737e13062e283e12694ead3108d5841c607d6_96	99.1143799	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;uncultured;
otu1257	05a262fadfe6805d662c165eb77d530554a7a046_165	100	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ilumatobacter;
otu1258	12671ecb01a5b1949d8cd97c5ab5983bc4871a95_90	99.4394226	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;uncultured;
otu1259	18787b74d8f7a32789457237262c3f3068e55118_95	99.0649261	Bacteria;Acidobacteria;Subgroup 22;
otu1260	243a7e5d735f495fddd2d68ec15d6878b42c6bbc_98	95.2904587	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;uncultured;
otu1261	24a1f10492ba62d88c6f067d5b8ab0d54bb78985_92	98.8064194	Bacteria;Proteobacteria;
otu1262	267638812bf55eb6a1146667d6e23de79e552f77_87	96.4403	Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Sedimenticola;
otu1263	2c3e76b426d9ffc76e0b11109380b8e874c3a873_88	99.5956268	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;
otu1264	3b79ea0ea84323bd1cc95e30a16be61ce15dfc1f_95	98.9693832	Bacteria;Proteobacteria;Deltaproteobacteria;43F-1404R;
otu1265	493731ff70c4a76f763676e9618b18d822e52459_94	98.9633789	Bacteria;Planctomycetes;OM190;
otu1266	5e8c8146679e00a1debf11ff60fc33e93317b826_97	99.3243179	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Nitrospinaceae;uncultured;
otu1267	5f4fb499d90d773fedf477b9bd407c5ce146a7b1_95	99.0996094	Bacteria;Proteobacteria;Gammaproteobacteria;KI89A clade;
otu1268	69555c024e6fe2355e3c09ac05104917f32b0f9e_90	98.665535	Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;BSV26;
otu1269	79187e9432a5f1a46af8966275ee2089e5b575ec_93	99.5714188	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;
otu1270	7e857da757f30357aff2900f0ed6e0e1c7fa0352_88	99.5799637	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;uncultured;
otu1271	8375fd5b84af4e794389c836d958eab504487429_102	98.7720108	Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Lentimonas;
otu1272	8dcc4b960e5f75c9bcf2a34f1e87f988bcefe99d_98	99.591156	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Sva0996 marine group;
otu1273	9b953d4313a0cedfabcf75f842e94ba831c6ed7d_140	99.587738	Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;
otu1274	ae15f9550145116012b312a07884dfa15fdf23f9_93	99.2990341	Bacteria;Proteobacteria;SPOTSOCT00m83;
otu1275	d918620f409d36010ab9dc8dd075a65db5638b2e_90	98.3602371	Bacteria;TA06;
otu1276	e3fb5ba0a45aa20b9ae8b8afa521544efe07bbb7_82	98.6306458	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;
otu1277	ec942c6ebcf4241c711025bab5e9bf99eb486ea2_98	99.601593	Bacteria;Proteobacteria;Gammaproteobacteria;Order Incertae Sedis;Family Incertae Sedis;Marinicella;
otu1278	f86b98cb8d1971700db944cb8c6268495968ab9b_88	99.1111145	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;uncultured;
otu1279	0d1ce5e559c577cb86f61c0fe6a429e62c9c6d31_106	99.5750732	Bacteria;Acidobacteria;Acidobacteria;Subgroup 21;
otu1280	1deedae96bda8f60b0dc74ec5295a4a548f3ca85_120	97.4165955	Bacteria;Candidate division WS3;
otu1281	1fa2f1409eeea6a4c1572e326fc853f0c07e63e5_92	99.4310837	Bacteria;Proteobacteria;Gammaproteobacteria;
otu1282	2320cc1d24e68d6ce5cd0abea90eb4757bd17286_130	95.2789917	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacterales Incertae Sedis;Caldithrix;
otu1283	2d4343f718a320c8ed525163f1edb4825f1d7df7_144	99.5993347	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales;Desulfarculaceae;uncultured;
otu1284	2efbe14cadf11bc961efb23bd1c68777eedc67bc_120	99.5805054	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu1285	48b0aefa88cfa4820745c5dab90fa941f3cb8da1_242	99.3515701	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;
otu1286	574a3aede23a462882f21d1c5a33ee490676f8e6_83	98.0637512	Bacteria;Gemmatimonadetes;Gemmatimonadetes;PAUC43f marine benthic group;
otu1287	5d70b8b005200db4ae88c43c4bff1750c99705f1_99	99.1986084	Bacteria;Proteobacteria;Gammaproteobacteria;Order Incertae Sedis;Family Incertae Sedis;Marinicella;
