accnos	align	path
otu59	9b3fa14d68d86aa96abd32bc12b40374b2694375_1257	99.3125305	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;
otu60	f79bebf976074d61780e0320df763fa0d949f923_1157	97.2474594	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacterales Incertae Sedis;Caldithrix;
otu61	977fc42581afefe87283564e548b6e7dcb6ef9e8_1054	99.1217728	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;
otu62	8902c40b4ee376ca66bab5c872c193e614e4b44b_1549	98.6820755	Bacteria;Proteobacteria;Zetaproteobacteria;Mariprofundales;Mariprofundaceae;Mariprofundus;
otu63	2d08b421c7daffe99de15bb42dc7275a3ca779fd_1499	99.6059189	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;JTB255 marine benthic group;
otu64	0d133dddfb16f6979024a75e557a586270474879_995	100	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu65	9edba55f90acfbf3f987b0e9a2289b794561b67a_1015	99.603157	Bacteria;Proteobacteria;Gammaproteobacteria;BD7-8 marine group;
otu66	ea1e167afdb8b9c001e8954bbcfb51392e30fb33_1016	99.3297806	Bacteria;Bacteroidetes;Cytophagia;Order II;Rhodothermaceae;uncultured;
otu67	c09fcbafada6b90f7cf7ac4cf486cf19f7fd3d9b_1129	99.5754929	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
otu68	d00b9ae35bf63d737a5e53fabc8c8179748f7994_1204	99.5661392	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;
otu69	88c4384fa70e3b6ecd72536e798181ae5e477b41_1111	99.1065826	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;
otu71	5f5ca08eb6bc59a27f4022e270d3f9981da0e846_918	97.17173	Bacteria;Candidate division TM7;
otu74	0d06818a0ea00f54e50d87ef91c87d5be805f3c3_944	99.5967102	Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Thiohalophilus;
otu75	55ceef9717ba715b6ba604a15cf8774a873fba4d_901	99.4405289	Bacteria;Proteobacteria;
otu76	40226d4836db0bc9113f721ab61cdacc91b4a12b_1752	99.6041336	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Sva0081 sediment group;
otu78	e672989b494e27d927eddb66503f74610a7554db_969	99.5761414	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
otu79	40a605cd8244b1c366014ecb64ac91e7fdbcdc79_877	99.5778656	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu80	19f766b313c54f80a0664588a5f62703a9a8261b_888	99.5807571	Bacteria;Proteobacteria;Gammaproteobacteria;
otu81	01f1ddbd015f29b60096e32f1f514fc92dca7625_854	99.6025772	Bacteria;Proteobacteria;Gammaproteobacteria;BD7-8 marine group;
otu83	5705c7776757355674090d80e3912570eb21783d_1045	98.3937149	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;
otu85	0dd3342e5992a03b86701216e055e999cf259add_868	99.1137009	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;
otu86	ffcfaf33148a5a0280d8a5b82f75abe3b9a4d218_798	99.0614548	Bacteria;Chloroflexi;Ardenticatenia;uncultured;
otu87	1bd4c878a023905f5f3ef0de93aff77a8d47dc1e_835	100	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;
otu88	e1bc467cc28b984df8b8727c511b96bb5323f91c_1063	99.5709686	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;
otu89	c1ca32a16c74ed63f48d9804307279d4c9f5c5bd_786	99.3771667	Bacteria;Chloroflexi;Ardenticatenia;uncultured;
otu91	485ae60ce1efe8e1eb119189420cccaf97ff7293_1215	99.5701218	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;
otu92	57d1526fd1585dcba54c807febeecbc42a0b71bb_1178	99.1269226	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;SEEP-SRB1;
otu93	93fcc08bf8a0b636aab6ba9eacfd3b555ce01bfe_783	98.8663025	Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;uncultured;
otu94	3275c12bc7600143c9d195c3d1965e419f0c300c_781	98.2915497	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacterales Incertae Sedis;Caldithrix;
otu95	64afd43aa052ee5d37b5823e35f5e4a6bad01d0a_716	99.3936539	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
otu96	61284070985f245f30a4a7a9478d64969c9d2e41_945	99.4000015	Bacteria;Proteobacteria;Gammaproteobacteria;
otu99	ffecc5f5cdeb741e252557634cf85fd12345b42c_956	99.576416	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
otu100	67912e0822770a2d3dbd9fd811a9be65271f1e7b_717	99.2124405	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacterales Incertae Sedis;Caldithrix;
otu101	b3c5c226129391421616d17e4a2a8f9bed47e13d_1762	99.6031342	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Sva0081 sediment group;
otu102	dd7e828a516228b1c4038fe8135dd0411b37b0dd_738	98.5196533	Bacteria;Acidobacteria;Acidobacteria;Subgroup 4;Unknown Family;Blastocatella;
otu103	aaf96bd66d7adfa1f78ebb7f22ba352b76510f2f_1073	99.5733032	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
otu104	222dd18f864256a9d5fc597ee8836ecc3d24419e_757	99.3868561	Bacteria;Proteobacteria;Deltaproteobacteria;43F-1404R;
otu105	9a430552917558a24a35631961b1d6bb269d400b_696	97.308075	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacterales Incertae Sedis;Caldithrix;
otu106	a2a67ee38f570d2ff3659e29f875bccdb932b8ee_670	99.6035843	Bacteria;Proteobacteria;Gammaproteobacteria;BD7-8 marine group;
otu107	12ca328ff01cd902b221c59d7ed6f0b3844b22cc_673	99.0888748	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
otu108	324607cb84eb83d8a5f6b1b69c60755bdad4dbd9_651	100	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;uncultured;
otu109	63feda83d7e9bc7f110a7f999348f97cdbb0d7b1_623	99.3988419	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
otu110	9a947a2f185060bff11fea7c65c5042a93804bad_657	99.5741653	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
otu111	25ad356b6fd88d98048cf9aad53057f535fe6e10_645	99.0694122	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu112	74593605d946d820e519cf34413d82c4b5267ff0_1258	99.2069321	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;SEEP-SRB1;
otu113	128d34cf4f7f4f9ee9d79d53efe45e98c53cf164_946	99.58181	Bacteria;Proteobacteria;Proteobacteria Incertae Sedis;Unknown Order;Unknown Family;Candidatus Thiobios;
otu114	3f409cab7868b78b21e32d90c31045bbe8289e51_590	99.5875931	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu115	9e3052d01f6ef82475919fc0e34b7eb41e100427_712	99.5729446	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;
otu116	938d9011575c7430046e09fd2a5ee30cbd323e09_678	99.1065598	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;
