S12	S1	S2	S31	S32	S4	S56	S5	S6	SA	SB	SG	SR
otu126	0	0	0	6	0	0	0	0	0	227	0	0	2
otu127	25	0	0	0	111	83	0	15	6	0	0	8	0
otu129	45	1	2	12	85	68	0	34	28	0	10	23	0
otu130	0	0	0	3	0	0	0	0	0	131	63	0	30
otu131	27	0	0	0	0	0	84	42	39	0	0	7	0
otu132	0	141	3	8	1	39	0	0	0	0	0	0	0
otu134	43	2	0	11	41	84	0	0	0	0	7	7	0
otu135	0	0	0	85	0	0	0	0	0	119	18	0	8
otu136	14	1	1	10	5	0	11	66	10	0	14	92	0
otu137	13	0	1	106	0	0	0	0	0	16	10	0	72
otu138	0	0	0	104	0	0	0	0	0	52	60	0	24
otu139	3	0	0	5	2	0	262	189	103	1	26	27	0
otu140	62	48	0	25	15	60	0	0	0	0	1	2	0
otu142	11	116	8	26	6	41	0	9	3	194	14	0	5
otu143	8	0	0	0	4	0	57	75	41	0	16	41	0
otu145	52	0	1	60	29	41	0	11	14	0	2	4	0
otu146	18	57	0	0	35	100	0	10	0	0	0	8	0
otu147	35	107	5	21	6	22	0	0	4	0	9	2	0
otu148	31	11	0	33	31	91	0	0	0	0	0	4	0
otu149	20	7	3	16	8	0	11	7	13	1	99	34	1
otu151	0	0	1	0	121	47	0	0	0	0	2	18	0
otu152	38	52	8	39	26	41	0	36	7	0	4	7	0
otu154	0	120	0	14	0	54	0	0	0	0	3	1	0
otu155	0	0	0	0	0	0	144	35	21	0	2	6	0
otu156	0	0	0	0	2	0	92	207	12	0	1	3	0
otu157	7	0	0	0	132	30	0	2	0	0	3	5	0
otu158	0	0	0	0	0	0	12	173	15	0	0	3	0
otu160	0	0	0	0	0	0	0	186	3	0	0	0	0
otu161	1	33	0	90	17	30	0	2	0	2	0	0	0
otu162	0	0	0	0	0	0	0	0	2	181	1	0	0
otu166	11	2	0	25	105	107	0	6	20	0	1	9	0
otu170	0	19	1	8	0	0	0	0	0	165	0	0	0
otu171	0	41	0	9	0	0	0	0	0	126	0	0	0
otu173	24	0	0	59	61	3	0	1	11	0	13	7	2
otu175	22	29	2	77	113	133	0	1	14	0	7	20	0
otu177	8	2	0	1	3	0	16	31	60	0	43	9	0
otu178	57	31	11	6	11	22	2	21	5	0	0	5	0
otu179	23	79	1	20	7	31	0	0	0	0	5	0	0
otu180	26	67	8	21	0	22	0	13	0	0	2	2	0
otu181	1	0	0	0	3	0	112	28	5	0	0	9	0
otu182	18	37	1	128	15	61	0	0	0	0	0	2	0
otu183	0	0	2	9	2	131	0	0	5	0	0	0	0
otu184	14	2	0	216	50	0	0	2	5	0	1	1	1
otu186	0	0	42	76	6	19	0	0	11	0	0	1	0
otu190	18	19	4	109	0	5	0	0	0	0	0	0	0
otu192	0	0	2	148	0	0	0	1	0	0	4	0	9
otu194	0	0	0	0	0	0	103	42	11	0	0	2	0
otu195	16	1	2	10	66	28	0	25	17	0	22	17	0
otu196	0	0	0	0	0	0	3	116	39	0	17	2	0
otu197	4	2	2	136	1	0	0	0	0	0	27	0	3
otu198	0	0	0	109	0	0	0	0	0	1	2	0	36
otu199	23	14	19	0	0	64	0	25	0	0	57	0	0
otu200	0	0	0	111	0	0	0	0	0	71	10	0	14
otu201	38	5	3	153	23	14	0	2	7	0	15	7	0
otu202	3	86	3	0	0	67	0	0	0	0	0	0	0
otu203	2	0	0	0	0	0	155	23	12	0	1	3	0
otu205	8	13	10	121	0	2	0	0	0	0	0	1	0
otu207	6	115	2	21	0	2	0	0	0	0	0	0	0
otu208	38	7	0	0	91	68	0	14	48	0	0	8	0
otu209	0	0	0	0	0	0	120	16	4	0	0	0	0
otu211	0	0	0	3	0	0	97	104	20	0	4	6	0
otu212	0	0	0	127	0	0	0	0	0	0	4	2	0
otu214	0	61	3	9	0	67	0	0	0	0	1	0	0
otu215	0	0	0	0	0	0	13	143	0	0	0	0	1
otu217	0	108	2	0	0	33	0	0	0	0	0	0	0
otu218	53	59	2	0	8	18	1	0	1	0	0	3	0
otu219	0	0	0	16	0	0	0	0	0	106	11	0	9
otu220	0	135	0	16	0	0	0	0	0	0	0	8	0
otu221	44	0	8	6	29	35	0	2	3	0	10	0	0
otu223	0	80	0	0	0	56	0	0	1	0	0	0	0
