domain	phylum	class	order	family	genus
otu51	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)_unclassified
otu52	Archaea	Thaumarchaeota	Marine Group I	Marine Group I_unclassified	Marine Group I_unclassified	Marine Group I_unclassified
otu53	Archaea	Thaumarchaeota	Marine Group I	Marine Group I Incertae Sedis	Marine Group I Incertae Sedis	Candidatus Nitrosopumilus
otu54	Archaea	Thaumarchaeota	Marine Group I	Marine Group I_unclassified	Marine Group I_unclassified	Marine Group I_unclassified
otu55	Archaea	Thaumarchaeota	Marine Group I	Marine Group I_unclassified	Marine Group I_unclassified	Marine Group I_unclassified
otu56	Archaea	Euryarchaeota	Thermoplasmata	20a-9	20a-9_unclassified	20a-9_unclassified
otu57	Archaea	Thaumarchaeota	Marine Group I	Marine Group I_unclassified	Marine Group I_unclassified	Marine Group I_unclassified
otu58	Archaea	Thaumarchaeota	Marine Group I	Marine Group I Incertae Sedis	Marine Group I Incertae Sedis	Candidatus Nitrosopumilus
otu59	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)_unclassified
otu60	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)_unclassified
otu61	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)_unclassified
otu62	Archaea	Thaumarchaeota	Marine Group I	Marine Group I_unclassified	Marine Group I_unclassified	Marine Group I_unclassified
otu63	Archaea	Thaumarchaeota	Marine Group I	Marine Group I_unclassified	Marine Group I_unclassified	Marine Group I_unclassified
otu64	Archaea	Thaumarchaeota	Marine Group I	Marine Group I_unclassified	Marine Group I_unclassified	Marine Group I_unclassified
otu65	Archaea	Thaumarchaeota	Marine Group I	Marine Group I Incertae Sedis	Marine Group I Incertae Sedis	Candidatus Nitrosopumilus
otu66	Archaea	Thaumarchaeota	Marine Group I	Cenarchaeales	Cenarchaeaceae	Cenarchaeum
otu67	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)_unclassified
otu68	Archaea	Thaumarchaeota	Marine Group I	Marine Group I_unclassified	Marine Group I_unclassified	Marine Group I_unclassified
otu69	Archaea	Thaumarchaeota	Marine Group I	Marine Group I_unclassified	Marine Group I_unclassified	Marine Group I_unclassified
otu70	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)_unclassified
otu71	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)_unclassified
otu72	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)_unclassified
otu73	Archaea	Thaumarchaeota	Group C3	Group C3_unclassified	Group C3_unclassified	Group C3_unclassified
otu74	Archaea	Thaumarchaeota	Marine Group I	Marine Group I_unclassified	Marine Group I_unclassified	Marine Group I_unclassified
otu75	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)_unclassified
otu76	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)_unclassified
otu78	Archaea	Euryarchaeota	Thermoplasmata	Marine Benthic Group E	Marine Benthic Group E_unclassified	Marine Benthic Group E_unclassified
otu79	Archaea	Thaumarchaeota	Marine Group I	Marine Group I_unclassified	Marine Group I_unclassified	Marine Group I_unclassified
otu81	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)_unclassified
