Longitude	Depth	Chla
1002	-26.0007	10	0.03
1003	-26.0007	15	0.03
1004	-26.0007	20	0.04
1005	-26.0007	25	0.04
1006	-26.0007	30	0.05
1007	-26.0007	35	0.05
1008	-26.0007	40	0.06
1009	-26.0007	45	0.06
1010	-26.0007	50	0.07
1011	-26.0007	55	0.08
1012	-26.0007	60	0.1
1013	-26.0007	65	0.14
1014	-26.0007	70	0.17
1015	-26.0007	75	0.26
1016	-26.0007	80	0.2
1017	-26.0007	85	0.15
1018	-26.0007	90	0.13
1019	-26.0007	95	0.1
1020	-26.0007	100	0.09
1021	-26.0007	105	0.08
1022	-26.0007	110	0.07
1023	-26.0007	115	0.06
1024	-26.0007	120	0.05
1025	-26.0007	125	0.05
1026	-26.0007	130	0.05
1027	-26.0007	135	0.04
1028	-26.0007	140	0.04
1029	-26.0007	145	0.04
1030	-26.0007	150	0.04
1031	-26.0007	155	0.03
1032	-26.0007	160	0.03
1033	-26.0007	165	0.03
1034	-26.0007	170	0.03
1035	-26.0007	175	0.03
1036	-26.0007	180	0.03
1037	-26.0007	185	0.03
1038	-26.0007	190	0.03
1039	-26.0007	195	0.03
1040	-26.0007	200	0.03
1041	-22.2502	5	0.05
1042	-22.2502	10	0.06
1043	-22.2502	15	0.07
1044	-22.2502	20	0.08
1045	-22.2502	25	0.08
1046	-22.2502	30	0.09
1047	-22.2502	35	0.1
1048	-22.2502	40	0.11
1049	-22.2502	45	0.14
1050	-22.2502	50	0.24
1051	-22.2502	55	0.26
1052	-22.2502	60	0.2
1053	-22.2502	65	0.14
1054	-22.2502	70	0.11
1055	-22.2502	75	0.1
1056	-22.2502	80	0.08
1057	-22.2502	85	0.07
1058	-22.2502	90	0.07
1059	-22.2502	95	0.06
1060	-22.2502	100	0.06
1061	-22.2502	105	0.05
1062	-22.2502	110	0.05
1063	-22.2502	115	0.04
1064	-22.2502	120	0.04
1065	-22.2502	125	0.04
1066	-22.2502	130	0.04
1067	-22.2502	135	0.04
1068	-22.2502	140	0.04
1069	-22.2502	145	0.04
1070	-22.2502	150	0.04
1071	-22.2502	155	0.04
1072	-22.2502	160	0.04
1073	-22.2502	165	0.04
1074	-22.2502	170	0.04
1075	-22.2502	175	0.04
1076	-22.2502	180	0.04
1077	-22.2502	185	0.04
1078	-22.2502	190	0.04
1079	-22.2502	195	0.04
1080	-22.2502	200	0.04
1081	-21.501	5	0.09
1082	-21.501	10	0.09
1083	-21.501	15	0.12
1084	-21.501	20	0.13
1085	-21.501	25	0.16
1086	-21.501	30	0.39
1087	-21.501	35	0.24
1088	-21.501	40	0.19
1089	-21.501	45	0.15
1090	-21.501	50	0.11
1091	-21.501	55	0.09
1092	-21.501	60	0.08
1093	-21.501	65	0.07
1094	-21.501	70	0.06
1095	-21.501	75	0.06
1096	-21.501	80	0.05
1097	-21.501	85	0.05
1098	-21.501	90	0.05
1099	-21.501	95	0.04
1100	-21.501	100	0.04
1101	-21.501	105	0.04
1102	-21.501	110	0.04
1103	-21.501	115	0.04
1104	-21.501	120	0.04
1105	-21.501	125	0.04
1106	-21.501	130	0.04
1107	-21.501	135	0.04
1108	-21.501	140	0.04
1109	-21.501	145	0.04
1110	-21.501	150	0.04
1111	-21.501	155	0.04
1112	-21.501	160	0.04
1113	-21.501	165	0.04
1114	-21.501	170	0.04
1115	-21.501	175	0.04
1116	-21.501	180	0.04
1117	-21.501	185	0.04
1118	-21.501	190	0.04
1119	-21.501	195	0.04
1120	-21.501	200	0.04
