Longitude	Depth	Chla
230	-56.75	150	0.04
231	-56.75	155	0.04
232	-56.75	160	0.03
233	-56.75	165	0.03
234	-56.75	170	0.03
235	-56.75	175	0.03
236	-56.75	180	0.03
237	-56.75	185	0.03
238	-56.75	190	0.03
239	-56.75	195	0.03
240	-56.75	200	0.03
241	-55.2502	5	0.04
242	-55.2502	10	0.04
243	-55.2502	15	0.04
244	-55.2502	20	0.05
245	-55.2502	25	0.05
246	-55.2502	30	0.06
247	-55.2502	35	0.06
248	-55.2502	40	0.06
249	-55.2502	45	0.06
250	-55.2502	50	0.06
251	-55.2502	55	0.06
252	-55.2502	60	0.06
253	-55.2502	65	0.07
254	-55.2502	70	0.07
255	-55.2502	75	0.08
256	-55.2502	80	0.09
257	-55.2502	85	0.09
258	-55.2502	90	0.09
259	-55.2502	95	0.08
260	-55.2502	100	0.08
261	-55.2502	105	0.07
262	-55.2502	110	0.06
263	-55.2502	115	0.05
264	-55.2502	120	0.05
265	-55.2502	125	0.04
266	-55.2502	130	0.04
267	-55.2502	135	0.04
268	-55.2502	140	0.03
269	-55.2502	145	0.03
270	-55.2502	150	0.03
271	-55.2502	155	0.03
272	-55.2502	160	0.03
273	-55.2502	165	0.03
274	-55.2502	170	0.03
275	-55.2502	175	0.03
276	-55.2502	180	0.03
277	-55.2502	185	0.03
278	-55.2502	190	0.03
279	-55.2502	195	0.03
280	-55.2502	200	0.03
281	-54.4998	5	0.05
282	-54.4998	10	0.04
283	-54.4998	15	0.05
284	-54.4998	20	0.05
285	-54.4998	25	0.05
286	-54.4998	30	0.05
287	-54.4998	35	0.05
288	-54.4998	40	0.05
289	-54.4998	45	0.05
290	-54.4998	50	0.06
291	-54.4998	55	0.07
292	-54.4998	60	0.07
293	-54.4998	65	0.08
294	-54.4998	70	0.12
295	-54.4998	75	0.12
296	-54.4998	80	0.07
297	-54.4998	85	0.06
298	-54.4998	90	0.05
299	-54.4998	95	0.05
300	-54.4998	100	0.05
301	-54.4998	105	0.05
302	-54.4998	110	0.05
303	-54.4998	115	0.05
304	-54.4998	120	0.05
305	-54.4998	125	0.04
306	-54.4998	130	0.04
307	-54.4998	135	0.04
308	-54.4998	140	0.03
309	-54.4998	145	0.03
310	-54.4998	150	0.03
311	-54.4998	155	0.03
312	-54.4998	160	0.03
313	-54.4998	165	0.03
314	-54.4998	170	0.03
315	-54.4998	175	0.03
316	-54.4998	180	0.03
317	-54.4998	185	0.03
318	-54.4998	190	0.03
319	-54.4998	195	0.03
320	-54.4998	200	0.03
321	-50.75	5	0.03
322	-50.75	10	0.03
323	-50.75	15	0.03
324	-50.75	20	0.03
325	-50.75	25	0.03
326	-50.75	30	0.03
327	-50.75	35	0.03
328	-50.75	40	0.03
329	-50.75	45	0.03
330	-50.75	50	0.04
331	-50.75	55	0.04
332	-50.75	60	0.04
333	-50.75	65	0.04
334	-50.75	70	0.04
335	-50.75	75	0.05
336	-50.75	80	0.05
337	-50.75	85	0.05
338	-50.75	90	0.06
339	-50.75	95	0.06
340	-50.75	100	0.07
341	-50.75	105	0.07
342	-50.75	110	0.1
343	-50.75	115	0.13
344	-50.75	120	0.12
345	-50.75	125	0.1
346	-50.75	130	0.09
347	-50.75	135	0.08
348	-50.75	140	0.07
349	-50.75	145	0.06
350	-50.75	150	0.06
351	-50.75	155	0.05
352	-50.75	160	0.05
353	-50.75	165	0.05
354	-50.75	170	0.04
355	-50.75	175	0.04
356	-50.75	180	0.04
357	-50.75	185	0.03
358	-50.75	190	0.03
359	-50.75	195	0.03
360	-50.75	200	0.03
361	-49.2503	5	0.03
362	-49.2503	10	0.03
363	-49.2503	15	0.03
364	-49.2503	20	0.03
365	-49.2503	25	0.03
366	-49.2503	30	0.03
367	-49.2503	35	0.03
368	-49.2503	40	0.04
369	-49.2503	45	0.04
370	-49.2503	50	0.04
371	-49.2503	55	0.04
372	-49.2503	60	0.04
373	-49.2503	65	0.05
374	-49.2503	70	0.06
375	-49.2503	75	0.06
376	-49.2503	80	0.06
377	-49.2503	85	0.07
378	-49.2503	90	0.07
379	-49.2503	95	0.08
380	-49.2503	100	0.1
381	-49.2503	105	0.1
382	-49.2503	110	0.09
383	-49.2503	115	0.09
384	-49.2503	120	0.08
385	-49.2503	125	0.07
386	-49.2503	130	0.06
387	-49.2503	135	0.06
388	-49.2503	140	0.05
389	-49.2503	145	0.05
390	-49.2503	150	0.05
391	-49.2503	155	0.04
392	-49.2503	160	0.04
393	-49.2503	165	0.04
394	-49.2503	170	0.04
395	-49.2503	175	0.04
396	-49.2503	180	0.03
397	-49.2503	185	0.03
398	-49.2503	190	0.03
399	-49.2503	195	0.03
400	-49.2503	200	0.03
401	-47.0005	5	0.03
402	-47.0005	10	0.03
403	-47.0005	15	0.03
404	-47.0005	20	0.03
405	-47.0005	25	0.03
406	-47.0005	30	0.03
407	-47.0005	35	0.03
408	-47.0005	40	0.03
409	-47.0005	45	0.03
410	-47.0005	50	0.04
411	-47.0005	55	0.04
412	-47.0005	60	0.04
413	-47.0005	65	0.04
414	-47.0005	70	0.05
415	-47.0005	75	0.05
416	-47.0005	80	0.05
417	-47.0005	85	0.05
418	-47.0005	90	0.06
419	-47.0005	95	0.06
420	-47.0005	100	0.07
