reef	site	seep.category	seep.code	pH	SiO4	PO4	NH4	NOx	NO2	longitude	latitude	TA	DIC	depth
Illi	S1	medium	2	7.92	4.471	0.109	1.224	0.865	0.021	150.817139	-9.823231	2.443	2.165	3.5
Illi	S1	medium	2	7.93	4.245	0.107	4.789	0.86	0.048	150.817139	-9.823231	2.523	2.184	3.5
Illi	S1	medium	2	7.91	4.956	0.107	7.007	0.924	0.046	150.817139	-9.823231	NA	NA	3.5
Illi	S12	medium	2	7.94	2.076	0.09	2.592	0.426	0.037	150.8174405	-9.823778	2.443	2.104	4.7
Illi	S12	medium	2	7.9	2.15	0.083	2.099	0.405	0.031	150.8174405	-9.823778	2.483	2.195	4.7
Illi	S12	medium	2	7.99	1.836	0.093	9.273	0.494	0.045	150.8174405	-9.823778	2.443	2.201	4.7
Illi	S2	medium	2	8.08	1.847	0.09	7.56	0.42	0.048	150.817478	-9.824056	2.563	2.192	6.1
Illi	S2	medium	2	8.08	1.819	0.085	6.425	0.505	0.036	150.817478	-9.824056	2.443	2.091	6.1
Illi	S2	medium	2	8.07	1.825	0.082	2.2	0.461	0.02	150.817478	-9.824056	2.483	2.123	6.1
Illi	S31	high	3	7.52	8.117	0.035	0.106	0.201	0.01	150.817836	-9.824219	2.563	2.523	3.7
Illi	S31	high	3	7.48	7.553	0.036	0.112	0.342	0.024	150.817836	-9.824219	2.523	2.493	3.7
Illi	S31	high	3	7.71	8.171	0.042	0.298	0.326	0.024	150.817836	-9.824219	2.483	2.435	3.7
Illi	S32	medium	2	8.03	4.943	0.018	0.212	0.07	0.039	150.817953	-9.824311	2.483	2.207	4
Illi	S32	medium	2	7.93	4.693	0.02	0	0.061	0.023	150.817953	-9.824311	2.483	2.281	4
Illi	S32	medium	2	7.98	4.482	0.056	0	0.077	0.036	150.817953	-9.824311	2.523	2.274	4
Illi	S4	medium	2	7.89	4.029	0.032	0	0.062	0.039	150.817822	-9.824411	2.403	2.094	5
Illi	S4	medium	2	7.98	4.197	0.037	0	0.09	0.036	150.817822	-9.824411	2.403	2.204	5
Illi	S4	medium	2	7.88	4.369	0.031	0.009	0.127	0.035	150.817822	-9.824411	2.523	2.218	5
Illi	S5	reference	1	8.16	3.844	0.039	0.006	0.318	0.046	150.818064	-9.824847	2.483	2.101	3.7
Illi	S5	reference	1	8.13	3.751	0.033	0	0.293	0.037	150.818064	-9.824847	2.644	2.115	3.7
Illi	S5	reference	1	8.12	3.606	0.04	0	0.424	0.045	150.818064	-9.824847	2.483	2.113	3.7
Illi	S56	reference	1	8.27	2.881	0.073	4.3	0.35	0.051	150.8194	-9.8269	2.523	2.05	3.9
Illi	S56	reference	1	8.28	2.933	0.07	0.452	0.296	0.036	150.8194	-9.8269	2.483	2.024	3.9
Illi	S56	reference	1	8.25	2.871	0.063	0.346	0.295	0.02	150.8194	-9.8269	2.403	2.061	3.9
Illi	S6	reference	1	8.22	2.557	0.029	23.204	0.227	0.04	150.820222	-9.828111	2.483	2.048	4
Illi	S6	reference	1	8.26	2.511	0.03	0.026	0.259	0.023	150.820222	-9.828111	2.483	2.057	4
Illi	S6	reference	1	8.26	2.584	0.025	0	0.203	0.019	150.820222	-9.828111	2.603	2.079	4
Illi	SA	high	3	6.96	35.345	0.103	1.764	0.591	0.032	150.8177375	-9.8240765	2.764	3.033	3
Illi	SA	high	3	7.03	27.528	0.094	0.545	0.465	0.05	150.8177375	-9.8240765	2.764	2.871	3
Illi	SA	high	3	6.88	45.394	0.11	0.848	0.562	0.031	150.8177375	-9.8240765	2.844	3.242	3
Illi	SB	high	3	6.98	4.597	0.065	0.178	0.306	0.022	150.817708	-9.823842	2.684	2.84	2.2
Illi	SB	high	3	7.05	5.154	0.056	0.075	0.324	0.009	150.817708	-9.823842	2.644	2.724	2.2
Illi	SB	high	3	7.06	12.959	0.055	0.294	0.345	0.031	150.817708	-9.823842	2.644	2.742	2.2
Illi	SG	medium	2	7.09	14.664	0.076	0.394	0.879	0.038	150.817431	-9.823519	2.644	2.684	2.5
Illi	SG	medium	2	7.13	13.137	0.089	0.433	0.944	0.038	150.817431	-9.823519	2.684	2.683	2.5
Illi	SG	medium	2	7.16	13.326	0.09	0.333	0.958	0.043	150.817431	-9.823519	2.563	2.611	2.5
Illi	SR	high	3	8.09	17.742	0.097	0.618	0.929	0.057	150.817556	-9.824128	2.443	2.209	5.8
Illi	SR	high	3	8.1	15.544	0.096	0.205	1.102	0.023	150.817556	-9.824128	2.644	2.156	5.8
Illi	SR	high	3	7.91	17.558	0.105	0.488	0.987	0.03	150.817556	-9.824128	2.523	2.38	5.8
